num,label,url
1,phish,http://rasha-alfaris.com/GJUKP7666/onlerak.htm
2,phish,http://llamining.com/A2/
3,phish,http://www.jinhuixiangrui.com/
4,phish,http://witchhead.com/English/
5,phish,https://sites.google.com/view/unblockpage/home?authuser=1
6,phish,https://filters.duckdns.org/atatat/index.php
7,phish,https://artius.vn/wp-content/plugins/css-ready-selectors/login.php?cmd=login_submit&amp;id=5b27128990e2482d2fbecbd9d7b958dd5b27128990e2482d2fbecbd9d7b958dd&amp;session=5b27128990e2482d2fbecbd9d7b958dd5b27128990e2482d2fbecbd9d7b958dd
8,phish,http://braininfotech.com/wp-content/themes/talon/wp-configs.php
9,phish,http://c4d91903f4ba484aa02778783e7c9a5e.testing-url.ws/wp-content/uploads/2019/07/pff/pp/login/PP-SAFETY/log-PP00C767/myaccount/signin
10,phish,http://foolhardier-iron.000webhostapp.com/cox.full/cox.full/Zo/stepCoxMail/log/sycho/personalID.html?verification-id=dde6d916deb04028aa8200152ee2c977dde6d916deb04028aa8200152ee2c977dde6d916deb04028aa8200152ee2c977dde6d916deb04028aa8200152ee2c977dde6d916deb04028aa8200152ee2c977dde6d916deb04028aa8200152ee2c977
