num,label,url
1,BotnetC&C,topwebappdevelopmentcompanies.com/server/admin.php
2,BotnetC&C,steelcanada.com/server/admin.php
3,BotnetC&C,iosappdevelopmentindia.com/server/admin.php
4,BotnetC&C,mgimpax.com/bob/Panel/admin.php
5,BotnetC&C,updateoffice360.top/adm/index.php
6,BotnetC&C,updateoffice360.top/nuke/login.php
7,BotnetC&C,updateoffice360.top/ads/index.php
8,BotnetC&C,updateoffice360.top/ats/cp.php?m=login
9,BotnetC&C,azomoney.ddns.net/mailer.php
10,BotnetC&C,azomoney.ddns.net/pony/admin.php
11,BotnetC&C,92.63.197.102/panel/admin.php
12,BotnetC&C,excelaires.com/webpanel/login.php
13,BotnetC&C,a0319471.xsph.ru/login
14,BotnetC&C,f0313828.xsph.ru/login
15,BotnetC&C,j902757.myjino.ru/login
16,BotnetC&C,f0319390.xsph.ru/login
17,BotnetC&C,92.63.192.142/login
18,BotnetC&C,vman21.com/ab26/admin.php
19,BotnetC&C,vman21.com/ab25/admin.php
20,BotnetC&C,vman21.com/ab17/admin.php
21,BotnetC&C,vman21.com/ab15/admin.php
22,BotnetC&C,vman21.com/ab14/admin.php
23,BotnetC&C,vman21.com/ab13/admin.php
24,BotnetC&C,vman21.com/ab12/admin.php
25,BotnetC&C,vman21.com/ab10/admin.php
26,BotnetC&C,tumpengsemarang.com/wp-content/themes/garlic/admin.php
27,BotnetC&C,fouadalemadi.com/admin/xuisp/admin.php
28,BotnetC&C,keissy.ml/ns/admin.php
29,BotnetC&C,194.36.173.109/sm/admin.php
30,BotnetC&C,194.36.173.109/sd/admin.php
31,BotnetC&C,194.36.173.109/bz/admin.php
32,BotnetC&C,aec.co.ir/enter/admin.php
33,BotnetC&C,172.86.120.238/Panel/lol_9/panel/admin.php
34,BotnetC&C,172.86.120.238/Panel/lol_8/panel/admin.php
35,BotnetC&C,172.86.120.238/Panel/lol_7/panel/admin.php
36,BotnetC&C,172.86.120.238/Panel/lol_6/panel/admin.php
37,BotnetC&C,172.86.120.238/Panel/lol_4/panel/admin.php
38,BotnetC&C,172.86.120.238/Panel/lol_3/panel/admin.php
39,BotnetC&C,172.86.120.238/Panel/lol_2/panel/admin.php
40,BotnetC&C,172.86.120.238/Panel/lol_1/panel/admin.php
41,BotnetC&C,arabkrobo.duckdns.org/Panel/Panel10/panel/admin.php
42,BotnetC&C,arabkrobo.duckdns.org/Panel/Panel9/panel/admin.php
43,BotnetC&C,arabkrobo.duckdns.org/Panel/Panel8/panel/admin.php
44,BotnetC&C,arabkrobo.duckdns.org/Panel/Panel7/panel/admin.php
45,BotnetC&C,arabkrobo.duckdns.org/Panel/Panel5/panel/admin.php
46,BotnetC&C,arabkrobo.duckdns.org/Panel/Panel4/panel/admin.php
47,BotnetC&C,arabkrobo.duckdns.org/Panel/Panel3/panel/admin.php
48,BotnetC&C,arabkrobo.duckdns.org/Panel/Panel2/panel/admin.php
49,BotnetC&C,arabkrobo.duckdns.org/Panel/Panel/panel/admin.php
50,BotnetC&C,vman22.com/ab25/admin.php
51,BotnetC&C,vman22.com/ab22/admin.php
52,BotnetC&C,vman22.com/ab21/admin.php
53,BotnetC&C,vman22.com/ab17/admin.php
54,BotnetC&C,vman22.com/ab16/admin.php
55,BotnetC&C,vman22.com/ab15/admin.php
56,BotnetC&C,vman22.com/ab4/admin.php
57,BotnetC&C,vman22.com/ab10/admin.php
58,BotnetC&C,vman22.com/ab11/admin.php
59,BotnetC&C,vman22.com/ab12/admin.php
60,BotnetC&C,vman22.com/ab13/admin.php
61,BotnetC&C,92.63.192.127/panel/admin.php
62,BotnetC&C,gama247.beget.tech/Agama4/PvqDq929BSx_A_D_M1n_a.php
63,BotnetC&C,gama247.beget.tech/Agama3/PvqDq929BSx_A_D_M1n_a.php
64,BotnetC&C,gama247.beget.tech/Agama1/PvqDq929BSx_A_D_M1n_a.php
